scorer,model,threshold,n_all,grounding_rate,vlm_n,vlm_prec,vlm_rec,vlm_f1,vlm_acc,human_n,human_prec,human_rec,human_f1,human_acc
clip,MM,0.23207,3910,0.788,3910,0.4907,0.8868,0.6318,0.5494,200,0.961,0.7749,0.858,0.755
clip,TXT,0.23207,2686,0.7446,2686,0.404,0.8577,0.5493,0.5063,200,0.9375,0.7337,0.8232,0.71
clip,MM,0.23529,3910,0.7371,3910,0.5038,0.8516,0.6331,0.5696,200,0.9595,0.7435,0.8378,0.725
clip,TXT,0.23529,2686,0.694,2686,0.4136,0.8185,0.5495,0.5294,200,0.9348,0.7011,0.8012,0.68
clip,MM,0.23851,3910,0.69,3910,0.517,0.8182,0.6337,0.5875,200,0.9706,0.6911,0.8073,0.685
clip,TXT,0.23851,2686,0.6441,2686,0.4185,0.7686,0.5419,0.5443,200,0.9313,0.663,0.7746,0.645
clip,MM,0.24172,3910,0.6381,3910,0.5331,0.7801,0.6333,0.6061,200,0.9752,0.6178,0.7564,0.62
clip,TXT,0.24172,2686,0.5946,2686,0.4264,0.7229,0.5364,0.5618,200,0.9274,0.625,0.7468,0.61
clip,MM,0.24494,3910,0.5926,3910,0.5416,0.7361,0.6241,0.6133,200,0.9741,0.5916,0.7362,0.595
clip,TXT,0.24494,2686,0.5346,2686,0.4387,0.6688,0.5299,0.5838,200,0.9455,0.5652,0.7075,0.57
clip,MM,0.24816,3910,0.5409,3910,0.5551,0.6886,0.6147,0.6235,200,0.9732,0.5707,0.7195,0.575
clip,TXT,0.24816,2686,0.4717,2686,0.4633,0.6231,0.5315,0.6147,200,0.9505,0.5217,0.6737,0.535
clip,MM,0.25137,3910,0.4908,3910,0.5633,0.634,0.5966,0.6261,200,0.9703,0.5131,0.6712,0.52
clip,TXT,0.25137,2686,0.4226,2686,0.4758,0.5732,0.52,0.6288,200,0.9565,0.4783,0.6377,0.5
clip,MM,0.25459,3910,0.4419,3910,0.581,0.5889,0.5849,0.6355,200,0.978,0.466,0.6312,0.48
clip,TXT,0.25459,2686,0.3742,2686,0.4955,0.5287,0.5116,0.6459,200,0.9634,0.4293,0.594,0.46
clip,MM,0.25781,3910,0.3921,3910,0.5975,0.5372,0.5658,0.6404,200,0.9878,0.4241,0.5934,0.445
clip,TXT,0.25781,2686,0.3217,2686,0.5174,0.4745,0.495,0.6605,200,0.9577,0.3696,0.5333,0.405
clip,MM,0.26103,3910,0.3476,3910,0.6218,0.4956,0.5516,0.6486,200,0.9872,0.4031,0.5725,0.425
clip,TXT,0.26103,2686,0.2803,2686,0.5418,0.4331,0.4814,0.6727,200,0.9492,0.3043,0.4609,0.345
clip,MM,0.26424,3910,0.309,3910,0.6366,0.451,0.528,0.6483,200,0.9853,0.3508,0.5174,0.375
clip,TXT,0.26424,2686,0.2394,2686,0.5645,0.3854,0.458,0.6802,200,0.9388,0.25,0.3948,0.295
clip,MM,0.26746,3910,0.2731,3910,0.6507,0.4076,0.5013,0.6463,200,0.9831,0.3037,0.464,0.33
clip,TXT,0.26746,2686,0.2059,2686,0.575,0.3376,0.4254,0.6802,200,0.9286,0.212,0.3451,0.26
clip,MM,0.27068,3910,0.2404,3910,0.666,0.3672,0.4733,0.6437,200,0.9811,0.2723,0.4262,0.3
clip,TXT,0.27068,2686,0.1757,2686,0.5953,0.2983,0.3975,0.6828,200,0.9118,0.1685,0.2844,0.22
clip,MM,0.27389,3910,0.2079,3910,0.6814,0.3249,0.44,0.6394,200,0.9787,0.2408,0.3866,0.27
clip,TXT,0.27389,2686,0.1437,2686,0.6218,0.2548,0.3614,0.6843,200,0.8929,0.1359,0.2358,0.19
clip,MM,0.27711,3910,0.1813,3910,0.6925,0.288,0.4068,0.6338,200,0.9744,0.199,0.3304,0.23
clip,TXT,0.27711,2686,0.1199,2686,0.6491,0.2219,0.3307,0.685,200,0.9231,0.1304,0.2286,0.19
clip,MM,0.28033,3910,0.1575,3910,0.7045,0.2545,0.374,0.6284,200,0.9706,0.1728,0.2933,0.205
clip,TXT,0.28033,2686,0.102,2686,0.6715,0.1953,0.3026,0.6843,200,0.913,0.1141,0.2029,0.175
clip,MM,0.28354,3910,0.135,3910,0.7121,0.2205,0.3368,0.6212,200,0.9643,0.1414,0.2466,0.175
clip,TXT,0.28354,2686,0.0823,2686,0.6787,0.1592,0.258,0.6787,200,0.8947,0.0924,0.1675,0.155
clip,MM,0.28676,3910,0.1143,3910,0.7248,0.19,0.3011,0.6153,200,1.0,0.1204,0.215,0.16
clip,TXT,0.28676,2686,0.0644,2686,0.6821,0.1253,0.2117,0.6727,200,0.875,0.0761,0.14,0.14
clip,MM,0.28998,3910,0.0982,3910,0.7292,0.1642,0.2681,0.609,200,1.0,0.1099,0.1981,0.15
clip,TXT,0.28998,2686,0.0517,2686,0.6978,0.103,0.1795,0.6698,200,0.9167,0.0598,0.1122,0.13
clip,MM,0.29319,3910,0.0803,3910,0.7452,0.1372,0.2318,0.6033,200,1.0,0.0942,0.1722,0.135
clip,TXT,0.29319,2686,0.045,2686,0.6942,0.0892,0.158,0.6668,200,0.9091,0.0543,0.1026,0.125
clip,MM,0.29641,3910,0.0688,3910,0.7509,0.1185,0.2047,0.5985,200,1.0,0.0733,0.1366,0.115
clip,TXT,0.29641,2686,0.0354,2686,0.6947,0.0701,0.1273,0.6631,200,0.875,0.038,0.0729,0.11
clip,MM,0.29963,3910,0.0565,3910,0.7692,0.0997,0.1765,0.5944,200,1.0,0.0524,0.0995,0.095
clip,TXT,0.29963,2686,0.0279,2686,0.7333,0.0584,0.1082,0.6623,200,0.8571,0.0326,0.0628,0.105
clip,MM,0.30285,3910,0.046,3910,0.7778,0.0821,0.1485,0.5895,200,1.0,0.0419,0.0804,0.085
clip,TXT,0.30285,2686,0.0216,2686,0.7069,0.0435,0.082,0.6582,200,0.8333,0.0272,0.0526,0.1
clip,MM,0.30606,3910,0.0391,3910,0.7712,0.0692,0.127,0.5852,200,1.0,0.0419,0.0804,0.085
clip,TXT,0.30606,2686,0.019,2686,0.7647,0.0414,0.0785,0.6593,200,1.0,0.0272,0.0529,0.105
clip,MM,0.30928,3910,0.0309,3910,0.7686,0.0545,0.1019,0.5806,200,1.0,0.0262,0.051,0.07
clip,TXT,0.30928,2686,0.0149,2686,0.725,0.0308,0.0591,0.656,200,1.0,0.0272,0.0529,0.105
clip,MM,0.3125,3910,0.0251,3910,0.7551,0.0434,0.0821,0.5767,200,1.0,0.0157,0.0309,0.06
clip,TXT,0.3125,2686,0.0104,2686,0.7143,0.0212,0.0412,0.6538,200,1.0,0.0217,0.0426,0.1
clip,MM,0.31571,3910,0.0212,3910,0.7711,0.0375,0.0716,0.5754,200,1.0,0.0105,0.0207,0.055
clip,TXT,0.31571,2686,0.0089,2686,0.7083,0.018,0.0352,0.653,200,1.0,0.0217,0.0426,0.1
clip,MM,0.31893,3910,0.0164,3910,0.7969,0.0299,0.0577,0.5737,200,1.0,0.0105,0.0207,0.055
clip,TXT,0.31893,2686,0.0078,2686,0.7619,0.017,0.0332,0.6534,200,1.0,0.0109,0.0215,0.09
clip,MM,0.32215,3910,0.0136,3910,0.7925,0.0246,0.0478,0.5719,200,1.0,0.0105,0.0207,0.055
clip,TXT,0.32215,2686,0.0063,2686,0.8824,0.0159,0.0313,0.6541,200,1.0,0.0109,0.0215,0.09
clip,MM,0.32536,3910,0.011,3910,0.7674,0.0194,0.0378,0.5698,200,1.0,0.0105,0.0207,0.055
clip,TXT,0.32536,2686,0.0052,2686,0.8571,0.0127,0.0251,0.653,200,1.0,0.0109,0.0215,0.09
clip,MM,0.32858,3910,0.0084,3910,0.7879,0.0152,0.0299,0.5688,200,1.0,0.0105,0.0207,0.055
clip,TXT,0.32858,2686,0.0022,2686,0.8333,0.0053,0.0105,0.6508,200,1.0,0.0109,0.0215,0.09
clip,MM,0.3318,3910,0.0066,3910,0.7692,0.0117,0.0231,0.5675,200,1.0,0.0052,0.0104,0.05
clip,TXT,0.3318,2686,0.0011,2686,1.0,0.0032,0.0063,0.6504,200,1.0,0.0109,0.0215,0.09
clip,MM,0.33502,3910,0.0046,3910,0.7778,0.0082,0.0163,0.5665,200,0.0,0.0,0.0,0.045
clip,TXT,0.33502,2686,0.0007,2686,1.0,0.0021,0.0042,0.65,200,1.0,0.0109,0.0215,0.09
